timestamp,artist_name,region,dsp,genre,isrc,streams,marketing_spend_usd
2026-01-01 00:00:00.000000000,Artist_7,Mexico,Spotify,Rock En Español,USUMG2630700,352400,75.88
2026-01-01 03:13:09.189189189,Artist_20,Brazil,Amazon Music,Rock En Español,USUMG2649464,4334,114.96
2026-01-01 06:26:18.378378378,Artist_15,Mexico,YouTube Music,Regional Mexican,USUMG2652351,871,263.48
2026-01-01 09:39:27.567567567,Artist_11,Brazil,Amazon Music,Rock En Español,USUMG2692534,2446,229.31
2026-01-01 12:52:36.756756756,Artist_8,US-Latin,Spotify,Reggaeton,USUMG2623869,8090,245.09
2026-01-01 16:05:45.945945945,Artist_7,Brazil,Amazon Music,Latin Trap,USUMG2670315,47780,0.0
2026-01-01 19:18:55.135135135,Artist_19,Brazil,Apple Music,Reggaeton,USUMG2630954,555,207.7
2026-01-01 22:32:04.324324324,Artist_11,Argentina,Amazon Music,Pop,USUMG2641555,4168,454.98
2026-01-02 01:45:13.513513513,Artist_11,Brazil,Apple Music,Latin Trap,USUMG2673353,9425,117.85
2026-01-02 04:58:22.702702702,Artist_4,Brazil,YouTube Music,Rock En Español,USUMG2692190,8046,762.35
2026-01-02 08:11:31.891891891,Artist_8,US-Latin,Apple Music,Pop,USUMG2655026,1062,129.58
2026-01-02 11:24:41.081081081,Artist_3,Argentina,Amazon Music,Latin Trap,USUMG2656976,5685,340.9
2026-01-02 14:37:50.270270270,Artist_2,Spain,Spotify,Rock En Español,USUMG2690578,1345,301.15
2026-01-02 17:50:59.459459459,Artist_12,US-Latin,Apple Music,Reggaeton,USUMG2655095,1330,429.25
2026-01-02 21:04:08.648648648,Artist_6,US-Latin,YouTube Music,Latin Trap,USUMG2624270,10460,591.86
2026-01-03 00:17:17.837837837,Artist_2,Spain,Apple Music,Rock En Español,USUMG2640908,1536,234.94
2026-01-03 03:30:27.027027027,Artist_1,Brazil,Apple Music,Reggaeton,USUMG2625523,34167,602.78
2026-01-03 06:43:36.216216216,Artist_12,Mexico,Apple Music,Pop,USUMG2672433,103,727.68
2026-01-03 09:56:45.405405405,Artist_12,Argentina,YouTube Music,Pop,USUMG2657068,10326,283.45
2026-01-03 13:09:54.594594594,Artist_17,Mexico,Amazon Music,Pop,USUMG2629991,7965,1051.17
2026-01-03 16:23:03.783783783,Artist_10,Spain,Apple Music,Pop,USUMG2620775,5035,428.71
2026-01-03 19:36:12.972972972,Artist_16,US-Latin,Apple Music,Regional Mexican,USUMG2687801,7036,254.29
2026-01-03 22:49:22.162162162,Artist_15,US-Latin,Spotify,Latin Trap,USUMG2694995,924,357.41
2026-01-04 02:02:31.351351351,Artist_15,Argentina,YouTube Music,Latin Trap,USUMG2671250,3165,1051.18
2026-01-04 05:15:40.540540540,Artist_19,US-Latin,Apple Music,Regional Mexican,USUMG2626673,2263,441.02
2026-01-04 08:28:49.729729729,Artist_12,US-Latin,YouTube Music,Rock En Español,USUMG2637056,592,440.71
2026-01-04 11:41:58.918918918,Artist_20,Argentina,Apple Music,Rock En Español,USUMG2616614,3428,471.0
2026-01-04 14:55:08.108108108,Artist_3,Argentina,Amazon Music,Pop,USUMG2617415,12775,638.65
2026-01-04 18:08:17.297297297,Artist_5,Spain,Amazon Music,Reggaeton,USUMG2698691,304,435.63
2026-01-04 21:21:26.486486486,Artist_19,US-Latin,Apple Music,Rock En Español,USUMG2653884,1822,516.33
